column,dtype,non_null,nulls,null_pct,n_unique
ObjectID,int64,600,0,0.0,600
GlobalID,object,600,0,0.0,600
1._Nombre_de_encuestador,object,600,0,0.0,22
2._Fecha_y_Hora_inicio,datetime64[ns],600,0,0.0,598
"3._Buenos_dias/_tardes,_mi_nombre_es__________________soy_encuestador/a_y_junto_a_la_Superintendencia_de_Servicios_Publicos_y_Domiciliarios_estamos_indagando_acerca_de_como_estan_siendo_atendidas_sus_peticiones,_quejas_y/o_reclamos._Su_participacion_es_voluntaria_y_tanto_su_identidad,_como_las_respuestas_suministradas_seran_de_caracter_confidencial._Esta_encuesta_toma_alrededor_de_10_minutos,_¿estaria_dispuesto(a)_a_responder_unas_preguntas?",object,600,0,0.0,1
"4._¿Autoriza_a_la_Superservicios_para_hacer_tratamiento_de_sus_datos_personales,_de_acuerdo_con_lo_establecido_en_la_Ley_1581_de_2012_y_la_Politica_de_tratamiento_de_datos_personales_de_la_entidad_publicada_en_https://www.superservicios.gov.co/Politica-de-tratamiento-de-datos?",object,600,0,0.0,1
"5._Para_iniciar,_¿me_puede_decir_nombres_y_apellidos_completos?",object,600,0,0.0,576
6._Tipo_de_Documento,object,600,0,0.0,1
Otro,float64,0,600,100.0,0
6.1._Numero_de_documento:,int64,600,0,0.0,567
7._Tiene_correo_electronico,object,600,0,0.0,2
7.1._Proporcione_el_correo,object,450,150,25.0,423
8._Su_edad_se_encuentra_entre,object,600,0,0.0,4
9._Departamento,object,600,0,0.0,2
DireccionT,object,600,0,0.0,1
10._Municipio,object,600,0,0.0,2
11._Nombre_Punto_Atencion,object,600,0,0.0,35
12._Empresa,object,600,0,0.0,24
13._¿Por_que_motivo_viene_usted_hoy_a_este_punto_de_atencion?,object,600,0,0.0,8
Otro.1,object,298,302,50.33,285
14._Ud._visita_el_punto_de_atencion_¿Como?,object,600,0,0.0,6
Otro.2,object,13,587,97.83,13
15._¿Coincide_su_lugar_de_residencia_con_el_lugar_donde_esta_siendo_atendido?,object,600,0,0.0,2
16._Ud._Se_identifica_como,object,600,0,0.0,2
Otro.3,float64,0,600,100.0,0
17._Pertenece_a_alguna_de_las_siguientes_etnias,object,600,0,0.0,3
Otro.4,float64,0,600,100.0,0
18._¿Su_direccion_es_la_misma_que_registra_en_su_factura?,object,600,0,0.0,2
19._Por_favor_indique_su_direccion,object,27,573,95.5,27
20._¿En_que_tipo_de_zona_vive_en_este_momento?,object,600,0,0.0,2
21._¿Cual_es_su_estado_civil_actualmente?,object,600,0,0.0,6
Otro.5,object,2,598,99.67,2
22._¿Cual_es_su_mayor_nivel_de_estudios?,object,600,0,0.0,5
Otro.6,float64,0,600,100.0,0
23._Indiqueme_por_favor_si_el_lugar_en_el_que_vive_es:,object,600,0,0.0,3
Otro.7,object,15,585,97.5,7
24._¿Cual_es_su_principal_ocupacion,object,600,0,0.0,9
Otro.8,object,24,576,96.0,3
25._¿Cuantas_personas_actualmente_componen_su_hogar?,int64,600,0,0.0,18
